time(ns),x,y,z,qw,qx,qy,qz
1718164057000434944,-62.3728,324.288,14.4056,0.691169,-0.00140411,-0.0100302,-0.722622
1718164057100530944,-62.3796,324.169,14.4047,0.691505,-0.00153984,-0.0102464,-0.722298
1718164057200624128,-62.3854,324.042,14.4046,0.69187,-0.00161706,-0.0100097,-0.721951
1718164057300708096,-62.3911,323.909,14.4049,0.692284,-0.00171733,-0.00968126,-0.721558
1718164057400769024,-62.3978,323.77,14.4046,0.692743,-0.00188346,-0.00962345,-0.721118
1718164057500805888,-62.4042,323.625,14.4041,0.693164,-0.00199831,-0.00942332,-0.720715
1718164057600805120,-62.411,323.475,14.4043,0.693688,-0.00218075,-0.00935541,-0.720212
1718164057700796928,-62.4167,323.32,14.4054,0.694034,-0.00246632,-0.00891227,-0.719883
1718164057800788992,-62.4238,323.158,14.4063,0.694186,-0.00228834,-0.00850613,-0.719742
1718164057900772096,-62.4333,322.992,14.4062,0.694282,-0.00164958,-0.0083474,-0.719653
1718164058000752896,-62.443,322.821,14.4053,0.694197,-0.00130867,-0.00852101,-0.719733
1718164058100730880,-62.4516,322.646,14.4045,0.694137,-0.00146148,-0.0085438,-0.719791
1718164058200702976,-62.4607,322.466,14.4041,0.694091,-0.00144661,-0.00842423,-0.719836
1718164058300685056,-62.4692,322.282,14.4031,0.693841,-0.00167533,-0.0082134,-0.720079
1718164058400664064,-62.4792,322.093,14.4028,0.693608,-0.00175542,-0.00831572,-0.720303
1718164058500638976,-62.4899,321.901,14.4029,0.693438,-0.0016556,-0.00815131,-0.720469
1718164058600621056,-62.5014,321.703,14.4022,0.693182,-0.00120681,-0.00807589,-0.720716
1718164058700602112,-62.5124,321.503,14.4014,0.692889,-0.00110427,-0.00802189,-0.720999
1718164058800584960,-62.5234,321.299,14.4011,0.692671,-0.00133754,-0.00807506,-0.721208
1718164058900550912,-62.5341,321.09,14.4013,0.69244,-0.00145119,-0.00770997,-0.721433
1718164059000518912,-62.5452,320.876,14.4013,0.692174,-0.00125731,-0.00739736,-0.721692
1718164059100502016,-62.558,320.658,14.4012,0.692028,-0.0010923,-0.00736573,-0.721832
1718164059200485120,-62.5728,320.435,14.3996,0.691937,-0.000822609,-0.00788925,-0.721914
1718164059300459008,-62.5866,320.205,14.3976,0.69182,-0.000614278,-0.00794616,-0.722026
1718164059400411904,-62.5996,319.969,14.396,0.691753,-0.000315046,-0.00762341,-0.722094
1718164059500363008,-62.6116,319.728,14.3948,0.691745,-0.00050168,-0.00702651,-0.722108
1718164059600313088,-62.6225,319.48,14.3945,0.691614,-0.000507829,-0.00594373,-0.722243
1718164059700254976,-62.6339,319.225,14.3939,0.691721,-0.000244628,-0.00432195,-0.722152
1718164059800211968,-62.644,318.965,14.392,0.691831,-0.000273746,-0.00242467,-0.722056
1718164059900182016,-62.6552,318.702,14.3897,0.69192,-2.49622e-05,-0.00106577,-0.721974
1718164060000139008,-62.6713,318.437,14.3884,0.692431,0.000809895,-0.00134798,-0.721482
1718164060100116992,-62.6945,318.174,14.3894,0.692758,0.00236588,-0.00398607,-0.721155
1718164060200101120,-62.7165,317.91,14.3906,0.692663,0.00323106,-0.0062825,-0.721226
1718164060300055040,-62.732,317.644,14.3902,0.692892,0.00319859,-0.00716436,-0.720999
1718164060400005120,-62.7408,317.375,14.3876,0.693529,0.00172925,-0.00663596,-0.720396
1718164060499976960,-62.7481,317.105,14.3846,0.693829,0.000121651,-0.00606519,-0.720114
1718164060599951872,-62.7582,316.829,14.3808,0.694112,-0.00126103,-0.00614119,-0.71984
1718164060699937024,-62.7702,316.548,14.3759,0.694463,-0.00274955,-0.00711408,-0.719488
1718164060799947008,-62.7809,316.26,14.3709,0.694892,-0.00469196,-0.00795004,-0.719055
1718164060899994112,-62.7912,315.963,14.3675,0.695262,-0.00583964,-0.00832946,-0.718684
1718164061000043008,-62.8077,315.657,14.3695,0.695797,-0.00430676,-0.00851635,-0.718175
1718164061100101120,-62.8279,315.345,14.3741,0.69647,-0.00201547,-0.00865565,-0.717531
1718164061200196096,-62.8427,315.03,14.3759,0.696659,-0.00102375,-0.00887181,-0.717347
1718164061300293120,-62.8522,314.712,14.3765,0.697137,-0.00148741,-0.00817237,-0.71689
1718164061400390912,-62.8623,314.391,14.3763,0.697895,-0.00175133,-0.00786155,-0.716155
1718164061500492032,-62.8718,314.065,14.3754,0.69859,-0.00220046,-0.00734133,-0.715481
1718164061600605952,-62.8823,313.734,14.3759,0.699112,-0.00181693,-0.00722649,-0.714973
1718164061700704000,-62.894,313.401,14.3776,0.699841,-0.00144586,-0.00725948,-0.714261
1718164061800765952,-62.9046,313.064,14.3781,0.700475,-0.00102641,-0.00723345,-0.71364
1718164061900786944,-62.9133,312.722,14.3775,0.701063,-0.000596734,-0.00675999,-0.713067
1718164062000764928,-62.9223,312.377,14.3762,0.701794,-0.000514623,-0.00674667,-0.712348
1718164062100741120,-62.9308,312.028,14.3757,0.70246,-0.000370771,-0.00689359,-0.71169
1718164062200717056,-62.9379,311.675,14.3754,0.703109,-0.00037462,-0.00661822,-0.711052
1718164062300687872,-62.9436,311.318,14.3742,0.703878,-0.000307217,-0.00630877,-0.710293
1718164062400651008,-62.9489,310.956,14.3738,0.704969,0.000209499,-0.00570198,-0.709215
1718164062500637952,-62.9546,310.589,14.3732,0.706118,0.000935575,-0.00540242,-0.708073
1718164062600632064,-62.9585,310.22,14.3705,0.707194,0.0011682,-0.00545654,-0.706997
1718164062700634112,-62.961,309.847,14.3676,0.708274,0.00147258,-0.00529267,-0.705916
1718164062800638976,-62.9641,309.469,14.3659,0.709442,0.00236505,-0.00526132,-0.70474
1718164062900649984,-62.9646,309.088,14.3649,0.71053,0.00282233,-0.00486241,-0.703645
1718164063000635904,-62.9632,308.705,14.3626,0.711531,0.00299942,-0.00479277,-0.702632
1718164063100630016,-62.9605,308.318,14.3591,0.712696,0.0027869,-0.0048691,-0.701451
1718164063200645120,-62.9574,307.928,14.3555,0.713691,0.00259999,-0.00519824,-0.700437
1718164063300666880,-62.9524,307.534,14.3526,0.714486,0.00237009,-0.00508659,-0.699627
1718164063400668928,-62.9468,307.136,14.3489,0.715222,0.00213486,-0.00495692,-0.698877
1718164063500659968,-62.9411,306.734,14.3451,0.715792,0.00211202,-0.0049252,-0.698293
1718164063600636928,-62.9356,306.33,14.342,0.716286,0.00202823,-0.00514628,-0.697784
1718164063700611072,-62.9288,305.923,14.3394,0.716758,0.00159576,-0.00530717,-0.6973
1718164063800571904,-62.9206,305.512,14.3373,0.7172,0.00139992,-0.00504457,-0.696848
1718164063900528128,-62.9128,305.097,14.335,0.717676,0.00143341,-0.00472478,-0.696359
1718164064000482048,-62.9045,304.681,14.3318,0.717977,0.0012887,-0.00484017,-0.696049
1718164064100431104,-62.8957,304.263,14.3281,0.718315,0.000909793,-0.00505073,-0.695699
1718164064200376064,-62.8865,303.842,14.3253,0.718649,0.000850253,-0.00486976,-0.695355
